0;1
Evan Turner;-1.0
Kelly Oubre Jr.;-1.0
Jabari Parker;-1.0
Karl-Anthony Towns;-1.0
Chris Paul;-1.0
Cameron Payne;-1.0
Tristan Thompson;-1.0
Isaiah Thomas;-1.0
Jeff Teague;-1.0
Myles Turner;-1.0
Steven Adams;-1.0
JaVale McGee;-1.0
Stephen Curry;-1.0
Trey Burke;-1.0
Jimmy Butler;-1.0
Bruno Caboclo;-1.0
Clint Capela;-1.0
Michael Carter-Williams;-1.0
Alex Caruso;-1.0
Tyson Chandler;-1.0
Gary Clark;-1.0
Jordan Clarkson;-1.0
John Collins;-1.0
Mike Conley;-1.0
Robert Covington;-1.0
Jamal Crawford;-1.0
Troy Daniels;-1.0
T.J. McConnell;-1.0
Anthony Davis;-1.0
Ed Davis;-1.0
Matthew Dellavedova;-1.0
DeMar DeRozan;-1.0
Cheick Diallo;-1.0
Spencer Dinwiddie;-1.0
Luka Doncic;-1.0
Andre Drummond;-1.0
Kris Dunn;-1.0
Joel Embiid;-1.0
Derrick Favors;-1.0
Terrance Ferguson;-1.0
Evan Fournier;-1.0
Thomas Bryant;-1.0
Jalen Brunson;-1.0
Troy Brown Jr.;-1.0
Bruce Brown;-1.0
LaMarcus Aldridge;-1.0
Jarrett Allen;-1.0
Justin Anderson;-1.0
Kyle Anderson;-1.0
Ryan Anderson;-1.0
Giannis Antetokounmpo;-1.0
Carmelo Anthony;-1.0
OG Anunoby;-1.0
Ryan Arcidiacono;-1.0
D.J. Augustin;-1.0
Deandre Ayton;-1.0
Dwayne Bacon;-1.0
Lonzo Ball;-1.0
Mo Bamba;-1.0
J.J. Barea;-1.0
Nicolas Batum;-1.0
Kent Bazemore;-1.0
Bradley Beal;-1.0
Jordan Bell;-1.0
Dragan Bender;-1.0
Patrick Beverley;-1.0
Bismack Biyombo;-1.0
Bogdan Bogdanovic;-1.0
Bojan Bogdanovic;-1.0
Devin Booker;-1.0
Mikal Bridges;-1.0
Malcolm Brogdon;-1.0
De'Aaron Fox;-1.0
Tim Frazier;-1.0
Danilo Gallinari;-1.0
LeBron James;-1.0
Stanley Johnson;-1.0
Bam Adebayo;-1.0
Nikola Jokic;-1.0
Damian Jones;-1.0
Tyus Jones;-1.0
DeAndre Jordan;-1.0
Cory Joseph;-1.0
Enes Kanter;-1.0
Michael Kidd-Gilchrist;-1.0
Brandon Knight;-1.0
Kevin Knox;-1.0
Kyle Kuzma;-1.0
Zach LaVine;-1.0
Jake Layman;-1.0
T.J. Leaf;-1.0
Alex Len;-1.0
Kawhi Leonard;-1.0
Caris LeVert;-1.0
Damian Lillard;-1.0
Brook Lopez;-1.0
Kevin Love;-1.0
Kyle Lowry;-1.0
Boban Marjanovic;-1.0
Lauri Markkanen;-1.0
Luc Mbah a Moute;-1.0
Patrick McCaw;-1.0
CJ McCollum;-1.0
James Johnson;-1.0
Reggie Jackson;-1.0
Marc Gasol;-1.0
