;epsilon;min_size;score;nb_clusters;var_portion
280;0.16000000000000003;2.0;-0.16643519146805158;33.0;0.7000000000000001
407;0.21000000000000002;2.0;-0.18768117955578598;33.0;0.7500000000000001
413;0.22000000000000003;2.0;-0.18111040908309053;33.0;0.7500000000000001
29;0.09000000000000001;2.0;-0.16259038174575835;32.0;0.6
381;0.14;2.0;-0.3646480618281292;32.0;0.7500000000000001
150;0.09000000000000001;2.0;-0.16259038174575835;32.0;0.65
497;0.14;2.0;-0.3646480618281292;32.0;0.8000000000000002
618;0.2;2.0;-0.33032195303883133;30.0;0.8500000000000002
245;0.07;2.0;-0.3833156555192545;29.0;0.7000000000000001
615;0.19;2.0;-0.3518449352972556;29.0;0.8500000000000002
287;0.17000000000000004;2.0;-0.14610314563024823;28.0;0.7000000000000001
645;0.26000000000000006;2.0;-0.19499599435090448;28.0;0.8500000000000002
746;0.29000000000000004;2.0;-0.2859441474612827;28.0;0.9000000000000002
419;0.23000000000000004;2.0;-0.18818483347402704;28.0;0.7500000000000001
535;0.23000000000000004;2.0;-0.18818483347402704;28.0;0.8000000000000002
379;0.13;2.0;-0.38425939679352933;26.0;0.7500000000000001
734;0.26000000000000006;2.0;-0.3496121698884432;26.0;0.9000000000000002
495;0.13;2.0;-0.38425939679352933;26.0;0.8000000000000002
731;0.25000000000000006;2.0;-0.3672210210360592;25.0;0.9000000000000002
750;0.30000000000000004;2.0;-0.27071562032988444;25.0;0.9000000000000002
37;0.1;2.0;-0.18921964205818526;25.0;0.6
7;0.060000000000000005;3.0;-0.22840906367483474;25.0;0.6
128;0.060000000000000005;3.0;-0.22840906367483474;25.0;0.65
741;0.28;2.0;-0.3009000882607915;25.0;0.9000000000000002
158;0.1;2.0;-0.18921964205818526;25.0;0.65
613;0.18000000000000005;2.0;-0.37500167388897987;25.0;0.8500000000000002
737;0.27;2.0;-0.32580069965457015;24.0;0.9000000000000002
263;0.13;3.0;-0.24394091612755478;23.0;0.7000000000000001
165;0.11000000000000001;2.0;-0.15624227951754868;23.0;0.65
652;0.27;2.0;-0.1996994914890187;23.0;0.8500000000000002
756;0.31000000000000005;2.0;-0.29513181374621206;23.0;0.9000000000000002
44;0.11000000000000001;2.0;-0.15624227951754868;23.0;0.6
14;0.07;3.0;-0.17985065019241753;23.0;0.6
135;0.07;3.0;-0.17985065019241753;23.0;0.65
398;0.19;3.0;-0.23455165072142675;22.0;0.7500000000000001
514;0.19;3.0;-0.23455165072142675;22.0;0.8000000000000002
510;0.18000000000000005;3.0;-0.25834843642678534;22.0;0.8000000000000002
143;0.08000000000000002;3.0;-0.15773902983933766;22.0;0.65
611;0.17000000000000004;2.0;-0.39397338756087763;22.0;0.8500000000000002
394;0.18000000000000005;3.0;-0.25834843642678534;22.0;0.7500000000000001
22;0.08000000000000002;3.0;-0.15773902983933766;22.0;0.6
377;0.12000000000000001;2.0;-0.3893676932608326;21.0;0.7500000000000001
729;0.24000000000000005;2.0;-0.376033228909371;21.0;0.9000000000000002
659;0.28;2.0;-0.2024570933518499;21.0;0.8500000000000002
493;0.12000000000000001;2.0;-0.3893676932608326;21.0;0.8000000000000002
122;0.05;3.0;-0.2769928376950771;21.0;0.65
255;0.11000000000000001;3.0;-0.31042020617019067;21.0;0.7000000000000001
252;0.1;3.0;-0.34145735409497013;21.0;0.7000000000000001
243;0.060000000000000005;2.0;-0.38772843618914854;21.0;0.7000000000000001
1;0.05;3.0;-0.2769928376950771;21.0;0.6
295;0.18000000000000005;2.0;-0.11547488439799106;20.0;0.7000000000000001
259;0.12000000000000001;3.0;-0.2837687824620406;20.0;0.7000000000000001
403;0.2;3.0;-0.22424062904259892;20.0;0.7500000000000001
519;0.2;3.0;-0.22424062904259892;20.0;0.8000000000000002
667;0.29000000000000004;2.0;-0.194836649928453;19.0;0.8500000000000002
274;0.15000000000000002;3.0;-0.18068689661692586;19.0;0.7000000000000001
426;0.24000000000000005;2.0;-0.16745446208843787;19.0;0.7500000000000001
542;0.24000000000000005;2.0;-0.16745446208843787;19.0;0.8000000000000002
171;0.12000000000000001;2.0;-0.13963259868189434;18.0;0.65
762;0.32000000000000006;2.0;-0.2494477799577563;18.0;0.9000000000000002
30;0.09000000000000001;3.0;-0.1403512971705727;18.0;0.6
151;0.09000000000000001;3.0;-0.1403512971705727;18.0;0.65
609;0.16000000000000003;2.0;-0.3955920084588313;18.0;0.8500000000000002
391;0.17000000000000004;3.0;-0.2933016271281861;18.0;0.7500000000000001
507;0.17000000000000004;3.0;-0.2933016271281861;18.0;0.8000000000000002
50;0.12000000000000001;2.0;-0.13963259868189434;18.0;0.6
268;0.14;3.0;-0.20064366331582223;18.0;0.7000000000000001
57;0.13;2.0;-0.11019892872474943;17.0;0.6
408;0.21000000000000002;3.0;-0.19690147578958564;17.0;0.7500000000000001
178;0.13;2.0;-0.11019892872474943;17.0;0.65
504;0.16000000000000003;3.0;-0.33322292089830946;17.0;0.8000000000000002
