,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,Trevor Ariza,POR,SF,0.7007575757575758,0.8705214615111743,0.2683905483727151,0.4827586206896554,0.7441860465116279,0.242263483642794,0.18893129770992365,0.30365296803652975,0.37795275590551186,0.3,0.46,0.56,0.14,0.17,0.14,0.15,0.12,0.33,0.25,0.2,0.62,0.08,0.19,0.14,0.25
13,D.J. Augustin,ORL,PG,0.5928030303030303,0.49769421780773326,0.35265269728042803,0.5517241379310345,0.5581395348837209,0.07515473032714413,0.3274809160305343,0.3439878234398782,0.19094488188976377,0.36,0.42,0.47,0.23,0.29,0.33,0.33,0.06,0.13,0.08,0.56,0.33,0.0,0.4,0.12,0.35
14,Deandre Ayton,PHO,C,0.013257575757575758,0.8119900673997872,0.6419973250111457,0.5862068965517241,0.011627906976744186,0.7077807250221043,0.4736641221374046,0.40258751902587525,0.3484251968503937,0.6,0.0,0.02,0.94,0.86,0.22,0.25,0.73,0.68,0.7,0.14,0.29,0.36,0.4,0.35,0.54
15,Dwayne Bacon,CHO,SG,0.0625,0.2664065271372827,0.08203299152920196,0.17241379310344826,0.32558139534883723,0.2259062776304156,0.25572519083969464,0.13470319634703198,0.10826771653543307,0.38,0.22,0.3,0.34,0.45,0.15,0.15,0.06,0.33,0.23,0.15,0.29,0.06,0.21,0.26,0.24
16,Lonzo Ball,NOP,PG,0.11363636363636363,0.8439162823696347,0.2929112795363353,0.20689655172413793,0.627906976744186,0.31520778072502215,0.3061068702290076,0.15525114155251143,0.4271653543307086,0.39,0.42,0.56,0.2,0.28,0.05,0.08,0.22,0.4,0.34,0.69,0.67,0.19,0.58,0.19,0.24
17,Mo Bamba,ORL,C,0.013257575757575758,0.23412557644554804,0.46589389210878285,0.4137931034482761,0.39534883720930236,0.6489832007073387,0.2954198473282442,0.20395738203957386,0.328740157480315,0.39,0.24,0.33,0.42,0.41,0.12,0.19,0.67,0.65,0.66,0.1,0.19,0.92,0.33,0.6,0.3
18,J.J. Barea,DAL,PG,0.2708333333333333,0.4583185526782546,0.46589389210878285,0.37931034482758635,0.4651162790697675,0.14588859416445624,0.5919847328244275,0.27549467275494677,0.15354330708661418,0.66,0.48,0.56,0.45,0.53,0.18,0.19,0.06,0.21,0.15,0.81,0.19,0.0,0.58,0.11,0.48
19,Harrison Barnes,SAC,PF,0.6553030303030303,0.8889677190493082,0.3571110120374498,0.44827586206896575,0.38372093023255816,0.24005305039787803,0.4377862595419847,0.33409436834094375,0.33070866141732286,0.55,0.34,0.4,0.46,0.54,0.31,0.33,0.18,0.3,0.25,0.11,0.24,0.06,0.21,0.05,0.46
20,Will Barton,DEN,SF,0.42045454545454547,0.7772259666548421,0.4141774409273295,0.4137931034482761,0.4418604651162791,0.30017683465959333,0.4389312977099237,0.3584474885844749,0.32480314960629925,0.54,0.38,0.46,0.42,0.48,0.26,0.28,0.18,0.38,0.3,0.33,0.38,0.17,0.35,0.14,0.43
21,Keita Bates-Diop,DEN,SF,0.030303030303030304,0.2976232706633558,0.2572447614801605,0.37931034482758635,0.4883720930232558,0.2723253757736516,0.21755725190839692,0.19178082191780824,0.11614173228346455,0.35,0.3,0.41,0.29,0.33,0.23,0.27,0.22,0.35,0.3,0.08,0.38,0.31,0.09,0.12,0.29
